"","begintime","endtime","coding","person","id"
"1",22285,22719,"Pointing Stim 1","1",1
"2",33864,34829,"G-Enactment","3",2
"3",36800,38861,"G-Pointing","2",3
"4",40069,41004,"Enactment Stim 1","2",4
"5",42500,43115,"Pointing Stim 1","1",5
"6",44165,47062,"Enactment Stim 4 (tabel)","2",6
"7",47062,48016,"Feature","3",7
"8",48411,48791,"Feature","3",8
"9",52115,53082,"Feature","1",9
"10",54514,55485,"Feature","1",10
"11",56686,56887,"G-Pointing","1",11
"12",57125,57220,"Pointing Stim 1","1",12
"13",57220,57720,"Feature","1",13
"14",58121,58621,"Feature","2",14
"15",61724,62050,"Pointing Stim 1","1",15
"16",62050,62871,"Feature","3",16
"17",63126,63960,"Pointing Stim 1","3",17
"18",64927,64928,"G-Point","""",18
"19",64928,66162,"Pointing Stim 1","3",19
"20",66863,67510,"Pointing Stim 1","3",20
"21",67783,67797,"G-Point","""",21
"22",67797,68298,"Feature","2",22
"23",75605,76406,"Feature","1",23
"24",76921,77921,"Feature","2",24
"25",78787,80243,"G-Pointing","2",25
"26",80243,80944,"Feature","1",26
"27",82512,82524,"Pointing Sti","""",27
"28",82524,82945,"G-Pointing","3",28
"29",84747,85715,"Function","3",29
"30",87058,88149,"Feature","3",30
"31",88778,89813,"Feature","3",31
"32",89843,90896,"G-Pointing","2",32
"33",96106,98121,"Feature","2",33
"34",98121,98161,"G-Pointing","1",34
"35",98161,99028,"Pointing Stim 1","1",35
"36",101297,103012,"G-Level 2 - middle","1",36
"37",103012,104684,"G-Pointing","1",37
"38",104934,107036,"G-Enactment","1",38
"39",107036,108805,"Pointing Stim 1","1",39
"40",109877,112842,"Function","1",40
"41",119415,121317,"Use Case Scenario","2",41
"42",128878,128925,"Use Case Scenario","2",42
"43",128925,130896,"Function","2",43
"44",134657,135304,"Use Case Scenario","2",44
"45",135304,143239,"G-Level 2 - middle","2",45
"46",143239,144474,"Pointing Stim 1","1",46
"47",145808,147210,"Pointing Stim 1","2",47
"48",151539,151619,"G-Pointing","2",48
"49",151619,152804,"Feature","2",49
"50",155785,156853,"Pointing Stim 1","2",50
"51",157429,158161,"G-Pointing","2",51
"52",158740,160565,"G-Level 2 - middle","2",52
"53",169432,170733,"Pointing Stim 1","2",53
"54",171534,178006,"G-Enactment","3",54
"55",178835,180143,"G-Level 2 - middle","2",55
"56",180143,182645,"Usability","2",56
"57",182823,184000,"G-Pointing","3",57
"58",186015,186783,"Pointing Stim 1","3",58
"59",187680,188339,"G-Level 2 - middle","3",59
"60",188351,193556,"Pointing Stim 1","1",60
"61",194223,195125,"Feature","2",61
"62",200964,202025,"Use Case Scenario","2",62
"63",202165,203199,"Use Case Scenario","2",63
"64",207706,209256,"G-Level 2 - middle","3",64
"65",212101,217331,"G-Level 3 - high","2",65
"66",222700,224008,"G-Pointing","1",66
"67",230955,231994,"G-Enactment","2",67
"68",231994,233723,"Enactment Stim 3","2",68
"69",234864,235598,"Pointing Stim 1","2",69
