"","time","X_RIGHT_INDEX","Y_RIGHT_INDEX","Z_RIGHT_INDEX","env","speed","vertical_velocity","acceleration","jerk","gesture_ID","gesture_type"
"2",10,0.152827866144127,-0.0140427813514711,-0.230628309819159,0,21.7697161120886,-0.00136915900952655,-4.13520725229995,-0.287953049572065,NA,NA
"3",20,0.202940353388293,-0.0205658890072398,-0.303588608160735,0,3.5879138915427,-0.00192650517093235,-6.35139563727994,-0.109120111493721,NA,NA
"4",30,0.216772880756745,-0.0226604814955763,-0.321456206379049,0,3.01130850066486,0.000123162779863252,-4.5229576414891,0.829733841435295,NA,NA
"6",40,0.216853082709458,-0.0187288149978345,-0.320956295364992,0,1.81578432852453,0.00472321127919609,-1.83938520209934,1.48620004424871,NA,NA
"7",50,0.211425221415439,-0.00891030457675901,-0.314391512368124,0,1.63755046472944,0.0104823690528319,-0.632632365099509,1.28092942530941,NA,NA
"8",60,0.205012478767235,0.00676085364984704,-0.306629704942822,0,2.05241321474474,0.0171846479862454,0.0855235266014061,0.83317805543554,NA,NA
"10",70,0.20051038547131,0.031024543196171,-0.300208695153566,0,2.68976758918887,0.025049010181219,0.471700097759804,0.491839047606452,NA,NA
"11",80,0.198504794493598,0.065084794748909,-0.295870792181966,0,3.45234228033204,0.0335926713043879,0.659637707497789,0.25180640585786,NA,NA
"12",90,0.196846210148847,0.106901622241627,-0.292684927589438,0,4.27928186058281,0.0421958256225654,0.724534576015029,0.0749880273612437,NA,NA
"13",100,0.191377069027236,0.158520555581637,-0.289497825701624,0.00508526743474771,5.1353314543855,0.0506132972276155,0.65816000508599,-0.0847903581258526,NA,NA
"14",110,0.179712673844474,0.222139956622043,-0.28575226599811,0.00475430776467221,5.80353768253803,0.056849403008948,0.390299734957011,-0.245778099340495,NA,NA
"15",120,0.165013974702,0.28959881519527,-0.281303314397083,0.00446680774184855,5.81864215179508,0.0564515524734198,-0.104209849429085,-0.36696967444568,NA,NA
"16",130,0.153303562538055,0.344525723273984,-0.275617247655236,0.00421087895559222,4.89187360580064,0.0463554662698341,-0.664812208526177,-0.365572639857905,NA,NA
"18",140,0.14877499193829,0.373621259755496,-0.268127642954729,0.00397937825033965,3.37635282210199,0.0289005008304157,-0.98181584777138,-0.199219863362788,NA,NA
"19",150,0.150644048360524,0.378978191234425,-0.25999463461054,0.00376732896516829,2.1386297391016,0.0104381474580444,-0.854099654577338,0.0618135373226078,NA,NA
